"property_id","property_code","locality","available","type","bhk","bath","flooring","building","landmark","address","keyword","floor_space","latitude","longitude","rent","society_fee","available_from","security_deposit","booking_amt","vip","creator","created_at","token_creation"
18,GAU003,22,1,1,2,2,1,Regent Paradise,Ghoramara Charali,Ghoramara,Apartment,"1200","26.120444","91.781278",23000,"2031","2021-10-30","46000","11500",1,admin,"2020-12-28 10:59:43","364145"
19,GAU004,28,1,1,3,2,1,Ajoy Residency,Near Sixmile NRL Petrol Pump,"Ajoy Residency, Bishnujyoti Path, By Lane No 1, Jayanagar",Apartment,"1200","26.129583","91.806722",20000,"2000","2021-07-01","44000","1100",1,admin,"2020-12-28 12:36:04","760484"
20,GAU004,60,1,1,3,2,1,Ajoy Residency,Near Sixmile NRL Petrol Pump,"Bishnujyoti Path, By Lane No. 1, Jayanagar","rent, 3BHK, Jayanagar, Joyanagar, Six Mile","1200","26.129706","91.805749",20000,"2000","2022-01-30","40000","10000",1,admin,"2020-12-28 17:58:47","738681"
21,GAU084,69,1,1,2,2,1,BR Residency,Near Pelican Plaza,Radha Nagar,"2Bhk- Unfurnished","1300","26.143760","91.816878",14000,"2000","2022-06-30","32000","6500",1,admin,"2020-12-29 11:37:30","787969"
22,GAU006,64,1,1,3,2,1,Sanaka Residency,Near Downtown Hospital,"Shakuntala Path, Mathura Nagar","Nearby downtown, 3BHK","1200","26.139222","91.802361",17000,"1500","2022-02-28","34000","8000",1,admin,"2020-12-29 12:08:21","438519"
23,GAU083,51,1,1,3,3,1,Subham Regency,Near Hill Side Food Junction,Hengrabari,"3BHK- Semi Furnished","1600","260901.3","914821.3",22000,"3000","2021-11-29","44000","11000",1,admin,"2020-12-29 13:31:54","386233"
24,GAU007,32,1,1,3,2,1,Sanaka Residency,Near Downtown Hospital,"Shakuntala Path, Mathura Nagar","rent, 3BHK, Downtown, Mathura Nagar","1200","26.139222","91.802361",17000,"1500","2022-02-28","34000","8000",1,admin,"2020-12-29 13:45:18","695863"
25,GAU008,64,1,1,2,2,1,Sanaka Residency,Near Downtown Hospital,"Shakuntala Path, Mathura Nagar","rent, 3BHK, Downtown, Mathura Nagar","950","26.139222","91.802361",14500,"1500","2022-06-30","29000","7000",1,admin,"2020-12-29 14:15:11","646552"
26,GAU082,52,1,1,3,2,1,House No. 52,Near Repose Bakery,Jilikapath,"3BHK-Unfurnished","1100","26.135881","91.820531",16000,"0","2021-11-30","32000","8000",1,admin,"2020-12-29 16:43:52","784751"
27,GAU081,60,1,1,2,2,1,Santoor Apartment,Near NRL Petrol Pump,"Jayanagar Road, Khanapara, Guwahati, Assam 781036","2Bhk- Unfurnished","950","26.128045","91.805745",14200,"1800","2021-10-31","32000","7000",1,admin,"2020-12-29 17:03:51","958405"
28,GAU012,30,1,1,2,2,1,Apurva Apartment,"Near Asian Infotech, K K Kandiqui State Open University","Apurva Sinha Path, R.G Baruah Road","2bhk, rent, Zoo road","950","26.176083","91.774444",22000,"1800","2021-11-30","44000","11000",1,admin,"2020-12-29 17:08:44","983241"
29,GAU015,5,1,1,2,2,1,Gulshan Residency,Near Supermarket Traffic Point,"Super Market, Traffic Point, Swaraj Nagar","rent, 2BHK, furnished, dispur, roadside","950","26.141833","91.795306",22000,"2000","2021-10-30","44000","11000",1,admin,"2020-12-29 17:43:25","698742"
30,GAU080,58,0,1,3,2,1,"Basisthapur, Bye Lane : 1","Near BSNL Office, Wireless",House no. 52A,"3BHK- Unfurnished","1200","26.134561","91.789627",16000,"0","2021-12-30","32000","8000",1,admin,"2020-12-29 17:43:35","587320"
31,GAU016,5,1,1,2,2,1,Surjyalaya Apartment,Near GNRC Hospital,"Kalapataru Path, Supermarket","rent, 2bhk, nearby gnrc dispur","1000","26.137944","91.793528",14000,"1700","2023-02-27","28000","6000",1,admin,"2020-12-30 11:09:53","830034"
32,GAU079,52,0,1,2,2,1,House No. 52,Near Repose Bakery,Jilikapath,"2Bhk- Unfurnished","950","26.136638","91.820421",12500,"0","2021-07-01","25000","6000",1,admin,"2020-12-30 11:22:34","741778"
33,GAU017,30,1,2,2,2,1,H.No. 16,"Near Tranqville, Debadaru Path, Ambikagirinagar, Guwahati, Assam","Ambikagiri Nagar, Zoo Road","2bhk house, frent, ambikagiri nagar, zoo road","900","26.168750","91.780556",15000,"0","2021-10-31","30000","7000",1,admin,"2020-12-30 12:00:56","922884"
34,GAU077,58,1,1,3,2,1,The Residency,Near Survey Bus Stand,"Chandan Nagar, Survey, Beltola","3BHK-Unfurnished","1050","26.128699","91.799791",16000,"1500","2022-05-30","32000","8000",1,admin,"2020-12-30 12:21:32","879048"
36,GAU018,30,1,1,2,2,1,House No. 16,"Near Tranqville, Debadaru Path, Ambikagirinagar, Guwahati, Assam",Ambikagiri Nagar,"2bhk, rent, Zoo road","900","26.168750","91.780556",15000,"0","2021-10-30","30000","7000",1,admin,"2020-12-30 12:41:57","554878"
