"property_id","fan_rk","light_rk","k_cabinet_rk","wardrobe_rk","sofa_rk","dining_set_rk","bed_rk","mattress_rk","g_stove_rk","i_stove_rk","Microwave_rk","g_cylinder_rk","e_fan_rk","k_chimney_rk","w_purifier_rk","geyser_rk","AC_rk","TV_rk","fridge_rk","wc_rk","inverter_rk","s_table_rk","sd_table_rk","chair_rk"
18,"","","",Wooden Almirah,One 3 seater and Two single seater with a center table and 5 cushions,"6 seater Dinning set with cover","1 King Size, 1 Queen Size","1 King Size, 1 Queen Size",With Induction,"","","","","","","","2 ton AC with remote, 1 ton inverter AC with remote","50” Micromax LED TV with Remote",Single door Refrigerator,"","","","",""
19,"","3 LED Bulbs, 4 Tubelights","","","Three Seater Sofa with cushions, 2 Single Seater Sofa with cushions",Six Seater Wooden Dining Table,"3 Single Bed","3 Single","","","","","","","","","","","","","","1 Wooden centre table with glass top, 2 Wooden side table with glass top","",""
20,"","3 LED Bulbs and 4 Tubelights",Modular Cabinets,"","Three Seater Sofa with cushions, Two Single Seater Sofa with cushions and Wooden Center Table with Glass Top",Six Seater Wooden Dining Table,Three Single Bed,"3 Single Mattress","","","","","","","","","","","","","","",Wooden Table with Glass Top,""
21,"",Tubelights,"","","","","","","","","","","","","","","","","","","","","",""
22,"","","","","","","","","","","","","","","","","","","","","","","",""
23,"","","",Attached Wooden Wardrobes,"","","","","","","","","","","","","","","","","","","",""
24,"","",Modular Cabinets,"","","","","","","","","","","","","","","","","","","","",""
25,"","","","","","","","","","","","","","","","","","","","","","","",""
26,"","","","","","","","","","","","","","","","","","","","","","","",""
27,"","","","","5 sitter sofa set with center table","",Single bed,"","","","","","","","","","","","","","","","",""
28,"","","","","Sofa Set ( 3 + 2 seater)- one, with upholstery and Cushions 5nos for back rest","Dining Table Glass top, 6 Chairs with upholstery and a round glass movable on top","Double Bed with mattress-one, Twin Bed with mattress-one,","","Two Burner LPG gas stove-One, LPG Gas Cylinder with Regulator, Indane make-One set","","","","","","RO water purifier, Kent make-One",Crompton,"Split AC 1.5 Ton, Samsung Make - one in Master Bed Room.","Flat TV, 19 inch, Sony make","Double Door refrigerator, LG make","","","",Bed Side,""
29,"","","","1 piece Double Door steel Almirah",One 3 seater and 2 single seater Sofa,"6 seater Dinning set","2 Single Wooden Bed with Mattress,1 King Size Wooden Bed with Mattress","","","","","","","","","","2 nos. 2 Ton Carrier AC",One 24inch Sony TV with Remote,"1 Single Door Whirlpool Refrigerator","","",Computer Table,"",""
30,"","","",Attached wooden wardrobes,"","","","","","","","","","","","","","","","","","","",""
31,"","",Wooden Cabinets,Wooden wardrobes,"","","","","","","","","","","","","","","","","","","",""
32,"","","","","","","","","","","","","","","","","","","","","","","",""
33,"","","","","","","","","","","","","","","","","","","","","","","",""
34,"","","","","","","","","","","","","","","","","","","","","","","",""
36,"","4 Tubelights, 9 Bulbs","","","","","","","","","","","","","","","","","","","","","",""
37,"","","","","","","","","","","","","","","","","","","","","","","",""
38,"","","","","","","","","","","","","","","","","","","","","","","",""
39,"","","","","","","","","","","","","","","","","","","","","","","",""
40,"","","","1 piece Double Door Steel Almirah","","","","","","","","","","","","","","","","","","","",""
41,"","","","","","","","","","","","","","","","","","","","","","","",""
42,"","",Modular Cabinets,Attached Wooden Wardrobes,"","","","","","","","","","","","","","","","","","","",""
43,"","",Wooden Built,Wooden Built,"","","","","","","","","","","","","","","","","","","",""
44,"","","","","","","","","","","","","","","","","","","","","","","",""
45,"","",Modular Cabinets,"","","","","","","","","","","","","","","","","","","","",""
46,"","","","","","","","","","","","","","","","","","","","","","","",""
47,"","Tubelights, LED Bulbs, Designer lights","",Chest of drawers,"5 sitter sofa set with center table","6 sitter Dinning set","Two Single Bed, One Double Bed","","","","","","","","","","","","","","","","",""
48,"","","","","","","","","","","","","","","","","","","","","","","",""
49,"","","","","",Four Seater Wooden Dining Table,"","","","","","","","","","","","","","","","","1 Wooden center table",""
50,"","","","","","","","","","","","","","","","","","","","","","","",""
51,"","","","","","","","","","","","","","","","","","","","","","","",""
52,"","","","","","","","","","","","","","","","","","","","","","","",""
53,"","",Wooden Rags,"","","","","","","","","","","","","","","","","","","","",""
54,"","",Wooden Rags,Wooden Built,"","","","","","","","",Not working,"","","","","","","","","","",""
55,"","","","","","","","","","","","","","","","","","","","","","","",""
56,"","","","","","","","","","","","","","","","","","","","","","","",""
57,"","","","","","","","","","","","","","","","","","","","","","","",""
58,"",LED bulbs and Tubelights,"",Wall fitted cabinets,Five Sitter sofa set with  center table,Four sitter,Queen size,Queen size,"","","","","","","","","","","","","","","",""
59,"","","","","","","","","","","","","","","","","","","","","","","",""
60,"","","","","","","","","","","","","","","","","","","","","","","",""
61,"","9 LED Bulbs, 4 Tubelights","","","","","","","","","","","","","","","","","","","","","",""
62,"","","","","","","","","","","","","","","","","","","","","","","",""
63,"","6 Tubelights, 8 LED Bulbs, 2 CFL",Modular Cabinets,"","","","","","","","","","","","","","","","","","","","",""
64,"","","","","","","","","","","","","","","","","","","","","","","",""
65,"","","","1 piece Double Door steel Almirah","One 3 seater, 2 single seater Sofa with 5 cushions and 10 pillows and 1 center table","6 seater Dinning set","1 King Size, 1 Single","1 King Size, 1 Single","","","","","","","","","1.5 Ton AC with Remote","","","","","",Dressing Table,""
66,"","","","1 no. Wooden, 1 no. Steel",Two Sofa Set – 1 Cane Set with a centre table & 1 Wooden Set,Six seater Glass Top Dinning table.,"2 Single Beds, 1 Master Bed","","","","","","","","","","2 nos. 1 Ton AC with Remote",Micromax LED 38 inch Screen with remote,Two Door Whirlpool Refrigerator – 265L,"","","","",Cane Chair
67,"","",Modular Cabinets,"","","","","","","","","","","","","","","","","","","","",""
73,"","","","","","","","","","","","","","","","","","","","","","","",""
74,"","",Wooden Rags,Wooden Built,"","","","","","",Not Working,"","","","","","","","","","","","",""
75,"","","",Wooden Double Door Almirah,"","","","","","","","","","","","",Window AC,"","","","","","",""
76,"","1 CFL, 1 Bulb, 27 LED","","","","","","","","","","","","","","","","","","","","","",""
77,"","",Modular Cabinets,Wooden Wardrobes,"","","","","","","","","","","","","","","","","","","",""
78,"","","","","","","","","","","","","","","","","","","","","","","",""
79,"","",Modular Cabinets,Wooden Wardrobes,"","","","","","","","","","","","","","","","","","","",""
80,"","","","","","","","","","","","","","","","","","","","","","","",""
81,"","","","","","","","","","","","","","","","","","","","","","","",""
