"id","property_id","image_url","cover","image_order","image_status","image_token"
47,19,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_19_0.jpeg,0,2,1,1
49,19,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_19_2.jpeg,0,4,1,1
50,19,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_19_3.jpeg,0,5,1,1
51,19,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_19_4.jpeg,0,6,1,1
53,19,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_19_6.jpeg,0,8,1,1
55,19,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_19_8.jpeg,0,10,1,1
56,19,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_19_9.jpeg,1,1,1,1
57,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_0.jpeg,0,12,1,1
58,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_1.jpeg,1,1,1,1
61,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_4.jpeg,0,3,1,1
64,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_7.jpeg,0,15,1,1
68,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_11.jpeg,0,17,1,1
69,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_12.jpeg,0,16,1,1
70,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_13.jpeg,0,23,1,1
71,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_14.jpeg,0,6,1,1
78,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_21.jpeg,0,24,1,1
80,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_23.jpeg,0,26,1,1
82,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_25.jpeg,0,27,1,1
83,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_26.jpeg,0,29,1,1
85,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_28.jpeg,0,30,1,1
86,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_29.jpeg,0,31,1,1
87,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_30.jpeg,0,32,1,1
88,20,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_20_31.jpeg,0,10,1,1
89,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_0.jpeg,0,5,1,1
90,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_1.jpeg,0,7,1,1
91,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_2.jpeg,0,9,1,1
93,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_4.jpeg,0,10,1,1
94,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_5.jpeg,0,11,1,1
95,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_6.jpeg,0,12,1,1
96,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_7.jpeg,0,16,1,1
100,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_11.jpeg,0,6,1,1
101,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_12.jpeg,0,18,1,1
102,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_13.jpeg,0,17,1,1
103,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_14.jpeg,0,19,1,1
105,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_16.jpeg,0,24,1,1
106,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_17.jpeg,0,20,1,1
107,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_18.jpeg,0,21,1,1
109,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_20.jpeg,0,2,1,1
111,22,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_22_22.jpeg,1,1,1,1
113,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_0.jpeg,0,11,1,1
114,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_1.jpeg,0,4,1,1
115,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_2.jpeg,0,9,1,1
116,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_3.jpeg,0,5,1,1
117,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_4.jpeg,0,6,1,1
118,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_5.jpeg,0,8,1,1
119,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_6.jpeg,0,2,1,1
120,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_7.jpeg,0,10,1,1
121,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_8.jpeg,1,1,1,1
122,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_9.jpeg,0,3,1,1
123,23,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_23_10.jpeg,0,7,1,1
124,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_0.jpeg,0,4,1,1
125,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_1.jpeg,0,5,1,1
126,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_2.jpeg,0,12,1,1
127,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_3.jpeg,0,6,1,1
128,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_4.jpeg,0,7,1,1
129,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_5.jpeg,0,8,1,1
130,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_6.jpeg,0,9,1,1
131,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_7.jpeg,0,10,1,1
132,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_8.jpeg,0,13,1,1
133,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_9.jpeg,0,11,1,1
134,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_10.jpeg,0,14,1,1
135,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_11.jpeg,1,1,1,1
136,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_12.jpeg,0,2,1,1
137,24,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_24_13.jpeg,0,3,1,1
138,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_0.jpeg,0,2,1,1
139,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_1.jpeg,0,4,1,1
140,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_2.jpeg,0,5,1,1
141,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_3.jpeg,0,3,1,1
142,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_4.jpeg,1,1,1,1
143,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_5.jpeg,0,10,1,1
144,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_6.jpeg,0,6,1,1
145,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_7.jpeg,0,7,1,1
146,25,https://dwelly.ap-south-1.linodeobjects.com/DWELLY_25_8.jpeg,0,8,1,1
