"property_id","market_1","market_2","market_3","hospital_1","hospital_2","hospital_3","school_1","school_2","school_3","atm_1","atm_2","atm_3","bank_1","bank_2","bank_3","restaurant_1","restaurant_2","restaurant_3","movie_1","movie_2","movie_3","airport","train","bus","market_1_distance","market_2_distance","market_3_distance","hospital_1_distance","hospital_2_distance","hospital_3_distance","school_1_distance","school_2_distance","school_3_distance","atm_1_distance","atm_2_distance","atm_3_distance","bank_1_distance","bank_2_distance","bank_3_distance","restaurant_1_distance","restaurant_2_distance","restaurant_3_distance","movie_1_distance","movie_2_distance","movie_3_distance","airport_distance","train_distance","bus_distance"
18,Sandhiram Boro Daily Market,Shahjahan Market,Reliance Market,Apollo Hospitals Guwahati,Guwahati Medical College Hospital,Sun Valley Hospital,Maria's Central Public School,Little Flower School,"Axel Public School, Survey",SBI,UCO Bank,Union Bank of India ATM,UCO Bank,Union Bank of India,SBI,ALOHI.. An Authentic Assamese Restaurant,The Nawab's & Nizam's Kitchen,Yoko Restaurant,Carnival Cinemas,Cinépolis Guwahati Central Mall,PVR: Dona Planet,Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"1","4","4","5.5","7","7","1","2","3","1","1","2","1","2","1","1","1.8","2","3","6","6","26","10.5","10"
19,"Sixmile Regular Market, Panjabari Flyover, Six Mile, Guwahati, Assam 781037","BELTOLA BIWEEKLY BAZAAR, Jayanagar Rd, Beltola Bazaar, Resham Nagar, Beltola Tiniali, Guwahati, Assam 781038","Saraswati Market, g s road, GS Rd, Saraswati Market, Six Mile, Guwahati, Assam 781036","Down Town Hospital, GS Rd, Bormotoria, Guwahati, Assam 781006","GNRC Hospital, GNRC Rd, Dispur, Rukmini Gaon, Guwahati, Assam 781006","GNRC Hospital, GNRC Rd, Dispur, Rukmini Gaon, Guwahati, Assam 781006","Kendriya Vidyalaya, Khanapara",Sudarshan Public School,SSA,"SBI ATM, 59, Mahapurush Madhabdev Path, Near Royal Enfield, Bormotoria, Guwahati, Assam 781036","SBI ATM, 59, Mahapurush Madhabdev Path, Near Royal Enfield, Bormotoria, Guwahati, Assam 781036","United Bank Of India ATM - Six Mile, Sachal Path, H.K. Market, Six Mile, Guwahati, Assam 781022","State Bank Of India, GS Rd, Saraswati Market, Six Mile, Guwahati, Assam 781036","Central Bank of India, G.K. Plaza, GS Rd, Six Mile, Guwahati, Assam 781036","United Bank of India, Nandanpur Path, Beltola Tiniali, Guwahati, Assam 781028","Flavours Family Restaurant, 1st floor, Palacia Grand, near Domino's Pizza, Bylane 3, Guwahati, 781022","Smoke Pork ,Chicken and Pork Momo, Sachal Path, Six Mile, Guwahati, Assam 781036","Food.com Restaurant, 7, Jayanagar Rd, Jaya Nagar, Six Mile, Guwahati, Assam 781022","Carnival Cinemas, Lakhi Mandir, Beltola Tiniali, Guwahati, Assam 781028","Cinépolis Guwahati Central Mall, Central Mall, 4th Floor, GS Rd, Christian Basti, Guwahati, Assam 781005","PVR: City Centre Guwahati, City Centre Mall, GS Rd, Christian Basti, Guwahati, Assam 781005",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"1","1.5","0.7","2","2.5","0.9","1.5","1.5","3.5","1.5",.5,"0.6","0.7","0.5","2","0.7","0.6","0.2","2","5.0","4.5","30.0","11.0","13.0"
20,"Sixmile Regular Market, Panjabari Flyover, Six Mile, Guwahati, Assam 781037","BELTOLA BIWEEKLY BAZAAR, Jayanagar Rd, Beltola Bazaar, Resham Nagar, Beltola Tiniali, Guwahati, Assam 781038","Saraswati Market, GS Rd, Saraswati Market, Six Mile, Guwahati, Assam 781036","Down Town Hospital, GS Rd, Bormotoria, Guwahati, Assam 781006","GNRC Hospital, GNRC Rd, Dispur, Rukmini Gaon, Guwahati, Assam 781006","GNRC Hospital, Six Mile","Kendriya Vidyalaya, Khanapara",Sudarshan Public School,"SSA, Dispur","SBI ATM, 59, Mahapurush Madhabdev Path, Near Royal Enfield, Bormotoria, Guwahati, Assam 781036","United Bank Of India ATM - Six Mile, Sachal Path, H.K. Market, Six Mile, Guwahati, Assam 781022","","State Bank Of India, GS Rd, Saraswati Market, Six Mile, Guwahati, Assam 781036","Central Bank of India, G.K. Plaza, GS Rd, Six Mile, Guwahati, Assam 781036","United Bank of India, Nandanpur Path, Beltola Tiniali, Guwahati, Assam 781028","Flavours Family Restaurant, 1st floor, Palacia Grand, near Domino's Pizza, Bylane 3, Guwahati, 781022","","Food.com Restaurant, 7, Jayanagar Rd, Jaya Nagar, Six Mile, Guwahati, Assam 781022","Carnival Cinemas, Lakhi Mandir, Beltola Tiniali, Guwahati, Assam 781028","Cinépolis Guwahati Central Mall, Central Mall, 4th Floor, GS Rd, Christian Basti, Guwahati, Assam 781005","PVR: City Centre Guwahati, City Centre Mall, GS Rd, Christian Basti, Guwahati, Assam 781005",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"1.0","1.5","0.7","2.0","2.5","0.9","1.5","1.6","3.5","0.5","0.6","0","0.7","0.5","2.0","0.7","0","0.2","2.0","5.0","4.5","30","11","13"
21,"Space Super Market-Bagharbari, Guwahati, Assam 781023",Six Mile Regular Market,"Bipana Khetra-Panjabari Rd, Panjabari, Six Mile, Guwahati, Assam 781037",Sun Valley Hospital,GNRC,Netram EyeCare & EyeWear,Down town Public School,Indra Kanta Das Public School,"Lakshya Academy School,Gandhinagar","Vijaya Bank ATM-Mahapurush Madhabdev Path, Bormotoria",SBI ATM-Mahapurush Madhabdev Path,Central Bank Of India ATM - Barbari Branch,Bank of Baroda,HDFC Bank,ICICI Bank,Khana Khazana (fresh and Spicy),"O2...The Open Banquet-Bipanan Khetra Panjabari Road, near Juripara Junction, Panjabari",MB'S 19,Carnivl Cinemas,PVR-Dona Planet,PVR City Centre-City Centre Mall,Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"2.9","1.6","1.7","2.3","3.9","1.2","0.9","0.160","0.750","0.9","1.3","1.6","1.2","3.0","1.9","0.50","1.7","2.0","4.5","7.5","6.9","34.3","11.3","13.8"
22,"Saraswati Market, GS Rd, Saraswati Market, Six Mile, Guwahati, Assam 781036","Market Lalita, Dr. R.P. Road, Ganeshguri Chariali, Ganeshguri, Guwahati, Assam 781006","Sixmile Regular Market, Panjabari Flyover, Six Mile, Guwahati, Assam 781037","Down Town Hospital, GS Rd, Bormotoria, Guwahati, Assam 781006","GNRC Hospital, GNRC Rd, Dispur, Rukmini Gaon, Guwahati, Assam 781006","GNRC Hospital, Six Mile","Shrimanta Shankar Academy Senior Secondary School, Girijananda Chowdhury Complex, GS Rd, Bagheswari Than, Dispur, Sarumotoria, Guwahati, Assam 781006","Holy Home Secondary School, SK Baruah Rd, Rukmini Gaon, Guwahati, Assam 781036","Little Flower School, Hatigaon Main Rd, Hatigaon, Guwahati, Assam 781038","State Bank of India ATM, GS Rd, Down Town, Rukmini Gaon, Guwahati, Assam 781022","IndusInd Bank ATM, Bormotoria, Guwahati, Assam 781036","HDFC Bank ATM, 1st Floor, Pibco Building, Saraswati Mkt, GS Rd, Kamrup, Assam 781022","HDFC Bank, 1st Floor, Pibco Building, Saraswati Mkt, GS Rd, Kamrup, Assam 781022","Union Bank of India - Basistha Road Branch, Basistha Road, Near, Wireless, Sachivalaya, Dispur, Guwahati, Assam 781006","State Bank Of India , Beltola - Basistha Rd, Last Gate, Basisthpur, Guwahati, Assam 781006","Naga Kitchen, GS Rd, Opp Pantaloons, Rukmini Gaon, Guwahati, Assam 781006","Mughals -Taste Meets Tradition, 1st Floor, Kanchan Complex, B N Saikia Road, Basistha Rd, Wireless, Dispur, Guwahati, Assam 781006","The Golden Spoon - Restaurant in Guwahati, GS Rd, opp. Pantaloons, Rukmini Gaon, Guwahati, Assam 781022","Cinépolis Guwahati Central Mall, Central Mall, 4th Floor, GS Rd, Christian Basti, Guwahati, Assam 781005","PVR: Dona Planet, Dona Planet Mall, GS Rd, opp. Rajiv Bhavan, Guwahati, Assam 781005","Galleria Cinemas Guwahati, 5th Floor, Hub Mall, GS Rd, Bhangagarh, Guwahati, Assam 781005",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"2.2","3.0","2.0","0.5","1.0","1.3","2.0","1.5","3.5","0.5","0.5","1.0","1.0","2.0","2.0","1.0","2.0","1.0","4.0","4.5","5.5","30.0","9.0","15.0"
23,"Ganeshguri Market, Fruits Market, Ganeshguri, Dr RP Rd, Guwahati, Assam 781006","Sixmile Regular Market, Panjabari Flyover, Six Mile, Guwahati, Assam 781037","Laxmi Market, GS Rd, Dispur, Ganeshguri, Guwahati, Assam 781006","Down Town Hospital, GS Rd, Bormotoria, Guwahati, Assam 781006","Rahman Hospitals Pvt. Ltd., Mahapurush Madhabdev Path, Opposite to Renault Showroom, Six Mile, Guwahati, Assam 781022","Dispur Hospitals Private Limited, Ganeshguri Flyover, GMC Ward Number 44, Swaraj Nagar, Ganeshguri, Guwahati, Assam 781006","Army Public School, NARANGI PO, Satgaon, Guwahati, Assam 781171","Gurukul Grammar Senior Secondary School, Mother Teresa Rd, Geeta Nagar, Pub, Guwahati, Assam 781020","Kendriya Vidyalaya, Khanapara, Beltola Jayanagar Rd, Jawahar Nagar, Khanapara, Guwahati, Assam 781022","SBI ATM, Guwahati, SBI Colony, Hengrabari, Guwahati, Assam 781036","Central Bank Of India ATM - Barbari Branch, Mahapurush Madhabdev Path, Borbari Chowk, Borbari, Guwahati, Assam 781036","Vijaya Bank ATM, Mahapurush Madhabdev Path, Bormotoria, Guwahati, Assam 781036","Central Bank of India - Borbari Branch, B K Complex, 1st Floor, Barbari Chariali, Mahapurush Madhabdev Path, Hengrabari, Guwahati, Assam 781036","State Bank Of India, GS Rd, Saraswati Market, Six Mile, Guwahati, Assam 781036","Canara Bank Panjabari Branch, House No.35(A Panjabari Rd Opp: Girls' High School, Guwahati, Assam 781037","Cook's Tale Restaurant, Chachal, Mahapurush Madhabdev Path, Guwahati, Assam 781036","","Metro 36, Borbari Chowk, VIP Rd, Guwahati, Six Mile, Guwahati, Assam 781036","PVR: City Centre Guwahati, City Centre Mall, GS Rd, Christian Basti, Guwahati, Assam 781005","Galleria Cinemas Guwahati, 5th Floor, Hub Mall, GS Rd, Bhangagarh, Guwahati, Assam 781005","Gold Digital Cinema, L.G Towers, Narengi Tinali, Guwahati, Assam 781026",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"3.6","4.0","4.3","3","3","3","7.1","8.1","5.6","0.7","0.8","1.1","1","5.1","3.8","1.4","0","1.1","5.6","8","5.1","32.0","10.0","15.0"
24,"Saraswati Market, GS Road, Saraswati Market, Six Mile, Guwahati, Assam 781036","Market Lalita, Dr. R.P. Road, Ganeshguri Chariali, Ganeshguri, Guwahati, Assam 781006","Sixmile Regular Market, Panjabari Flyover, Six Mile, Guwahati, Assam 781037","Down Town Hospital, GS Rd, Bormotoria, Guwahati, Assam 781006","GNRC Hospital, GNRC Rd, Dispur, Rukmini Gaon, Guwahati, Assam 781006","GNRC Hospital, Six Mile","Shrimanta Shankar Academy Senior Secondary School, Girijananda Chowdhury Complex, GS Rd, Bagheswari Than, Dispur, Sarumotoria, Guwahati, Assam 781006","Holy Home Secondary School, SK Baruah Rd, Rukmini Gaon, Guwahati, Assam 781036","Little Flower School, Hatigaon Main Rd, Hatigaon, Guwahati, Assam 781038","State Bank of India ATM, GS Road, Down Town, Rukmini Gaon, Guwahati, Assam 781022","IndusInd Bank ATM, Bormotoria, Guwahati, Assam 781036","HDFC Bank ATM, 1st Floor, Pibco Building, Saraswati Market, GS Road, Kamrup, Assam 781022","HDFC Bank ATM, 1st Floor, Pibco Building, Saraswati Market, GS Road, Kamrup, Assam 781022","Union Bank of India - Basistha Road Branch, Basistha Road, Near, Wireless, Sachivalaya, Dispur, Guwahati, Assam 781006","State Bank Of India , Beltola - Basistha Rd, Last Gate, Basisthpur, Guwahati, Assam 781006","Naga Kitchen, GS Road, Opp. Pantaloons, Rukmini Gaon, Guwahati, Assam 781006","","The Golden Spoon - Restaurant in Guwahati, GS Rd, opp. Pantaloons, Rukmini Gaon, Guwahati, Assam 781022","Cinépolis Guwahati Central Mall, Central Mall, 4th Floor, GS Rd, Christian Basti, Guwahati, Assam 781005","PVR: Dona Planet, Dona Planet Mall, GS Rd, opp. Rajiv Bhavan, Guwahati, Assam 781005","Galleria Cinemas Guwahati, 5th Floor, Hub Mall, GS Rd, Bhangagarh, Guwahati, Assam 781005",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"2.2","3.0","2.0","0.5","1.2","1.5","2.0","1.5","3.5","0.5","0.5","1.0","1.0","2.0","2.0","1.0","0","1.0","4.0","4.5","5.5","30.0","9.0","15.0"
25,"Saraswati Market,GS Road, Saraswati Market, Six Mile, Guwahati, Assam 781036","Market Lalita, Dr. R.P. Road, Ganeshguri Chariali, Ganeshguri, Guwahati, Assam 781006","Sixmile Regular Market, Panjabari Flyover, Six Mile, Guwahati, Assam 781037","Down Town Hospital, GS Road, Bormotoria, Guwahati, Assam 781006","GNRC Hospital, GNRC Road, Dispur, Rukmini Gaon, Guwahati, Assam 781006","GNRC Hospital, Six Mile","Shrimanta Shankar Academy Senior Secondary School, Girijananda Chowdhury Complex, GS Rd, Bagheswari Than, Dispur, Sarumotoria, Guwahati, Assam 781006","Holy Home Secondary School, SK Baruah Rd, Rukmini Gaon, Guwahati, Assam 781036","Little Flower School, Hatigaon Main Rd, Hatigaon, Guwahati, Assam 781038","State Bank of India ATM, GS Road, Down Town, Rukmini Gaon, Guwahati, Assam 781022","IndusInd Bank ATM, Bormotoria, Guwahati, Assam 781036","HDFC Bank ATM, 1st Floor, Pibco Building, Saraswati Market, GS Rd, Kamrup, Assam 781022","HDFC Bank, 1st Floor, Pibco Building, Saraswati Market, GS Rd, Kamrup, Assam 781022","Union Bank of India - Basistha Road Branch, Basistha Road, Near, Wireless, Sachivalaya, Dispur, Guwahati, Assam 781006","State Bank Of India, Beltola - Basistha Road, Last Gate, Basisthpur, Guwahati, Assam 781006","Naga Kitchen, GS Rd, Opp Pantaloons, Rukmini Gaon, Guwahati, Assam 781006","Mughals -Taste Meets Tradition, 1st Floor, Kanchan Complex, B N Saikia Road, Basistha Rd, Wireless, Dispur, Guwahati, Assam 781006","The Golden Spoon - Restaurant in Guwahati, GS Rd, opp. Pantaloons, Rukmini Gaon, Guwahati, Assam 781022","Cinépolis Guwahati Central Mall, Central Mall, 4th Floor, GS Rd, Christian Basti, Guwahati, Assam 781005","PVR: Dona Planet, Dona Planet Mall, GS Rd, opp. Rajiv Bhavan, Guwahati, Assam 781005","Galleria Cinemas Guwahati, 5th Floor, Hub Mall, GS Rd, Bhangagarh, Guwahati, Assam 781005",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"2.2","3.0","2.0","0.5","1.2","1.3","2.0","1.5","3.5","0.5","0.5","1.0","1","2.0","2.0","1.0","2.0","1.0","4.0","4.5","5.5","30.0","9.0","15.0"
26,"Sixmile Regular Market, Panjabari Flyover, Six Mile, Guwahati, Assam 781037","BELTOLA BIWEEKLY BAZAAR, Jayanagar Rd, Beltola Bazaar, Resham Nagar, Beltola Tiniali, Guwahati, Assam 781038","Batahghuli Grammyo Bazar, Batahghuli Road,Panjabari Road, Panjabari Chariali, Kalitakuchi, Batahguli, Guwahati, Assam 781037","GNRC Hospital Six-Mile Branch, Punjab National bank, GS Rd, Six Mile, Guwahati, Assam 781022","Down Town Hospital, GS Rd, Bormotoria, Guwahati, Assam 781006","Rahman Hospitals Pvt. Ltd., Mahapurush Madhabdev Path, Opposite to Renault Showroom, Six Mile, Guwahati, Assam 781022","Shrimanta Shankar Academy Senior Secondary School, Girijananda Chowdhury Complex, GS Rd, Bagheswari Than, Dispur, Sarumotoria, Guwahati, Assam 781006","Suderashan Public School, 13, Jana Path, Jaya Nagar, Khanapara, Guwahati, Assam 781022","Kendriya Vidyalaya, Khanapara, Beltola Jayanagar Rd, Jawahar Nagar, Khanapara, Guwahati, Assam 781022","State Bank Of India ATM, Panjabari Rd, Jurapar, Juripar, Bormotoria, Guwahati, Assam 781037","Axis bank, Satgaon, Guwahati, Assam 781023","Canara Bank ATM, Panjabari Rd, Six Mile, Guwahati, Assam 781022","State Bank of India, Srimanta Sankardev Kalakhetra,, Panjabari Rd, Guwahati, Assam","Canara Bank Panjabari Branch, House No.35(A Panjabari Rd Opp: Girls' High School, Guwahati, Assam 781037","Bank of Baroda - Six Mile Branch, Mahapurush Madhabdev Path, Six mile, Guwahati, Assam 781022","37 Street Affair Restrocafé, 92 Panjabari Road Tiniali, Bagharbari, Guwahati, Assam 781037","O2...The Open Banquet, Bipanan Khetra Panjabari Road, near Juripara Junction, Panjabari, Guwahati, Assam 781037","BEST 1 RESTAURANT, Panjabari Rd, Bagharbari, Guwahati, Assam 781037","Cinépolis Guwahati Central Mall, Central Mall, 4th Floor, GS Rd, Christian Basti, Guwahati, Assam 781005","PVR: Dona Planet, Dona Planet Mall, GS Rd, opp. Rajiv Bhavan, Guwahati, Assam 781005","Gold Digital Cinema, L.G Towers, Narengi Tinali, Guwahati, Assam 781026",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"1.5","4.0","1.7","2.0","3.0","2.0","4.0","3.0","3.0","0.7","1.0","0.8","1.0","0.9","2.0","1.5","0.7","1.4","6.5","7.0","8.0","32.0","11.5","12.5"
27,"Jayanagar Bazaar, Beltola Jayanagar Rd, Jayanagar Chariali, Saurabh Nagar, Beltola Tiniali, Guwahati, Assam 781038","Reliance Market, Assam Tea Warehousing Corporation, Tripura Rd, Resham Nagar, Beltola Tiniali, Guwahati, Assam 781022","Beltola Bazar Jayanagar Road, Beltola Bazaar Rd, Beltola Bazaar, Saurabh Nagar, Beltola Tiniali, Guwahati, Assam 781028","Down Town Hospital, GS Rd, Bormotoria, Guwahati, Assam 781006","Agile Hospitals Private Limited, Jayanagar Chariali, Resham Nagar, Khanapara, Guwahati, Assam","Sun Valley Hospital, GS Rd, Mathura Nagar, Bormotoria, Guwahati, Assam 781022","Kendriya Vidyalaya, Khanapara, Beltola Jayanagar Rd, Jawahar Nagar, Khanapara, Guwahati, Assam 781022","Suderashan Public School, 13, Jana Path, Jaya Nagar, Khanapara, Guwahati, Assam 781022","Shrimanta Shankar Academy Senior Secondary School, Girijananda Chowdhury Complex, GS Rd, Bagheswari Than, Dispur, Sarumotoria, Guwahati, Assam 781006","SBI ATM, Jaya Nagar, Khanapara, Guwahati, Assam 781036","UBI ATM, g s road, GS Rd, Jaya Nagar, Six Mile, Guwahati, Assam 781036","Vijaya Bank ATM, Guwahati Shillong Rd, Jaya Nagar, Khanapara, Guwahati, Assam 781022","State Bank of India ATM - Khanapara Branch, GS Rd, Khanapara, Jaya Nagar, Six Mile, Guwahati, Assam 781022","United Bank of India, P.S, Beltola Tiniali, P.O. Basistha, Dist, Hatigaon, Guwahati, Assam 781028","INDIAN BANK, Basistha Rd, Opp to Kali Mandir, Beltola Tiniali, Guwahati, Assam 781028","Seven, 613, Mahapurush Srimanta Sankardev Path, Khanapara, Guwahati, Assam 781022","","Legacy Restaurant, 1st Floor, Hotel Palacio, G.S. Road, Khanapara, above Poddar Car World, Guwahati, Assam 781022","Cinépolis Guwahati Central Mall, Central Mall, 4th Floor, GS Rd, Christian Basti, Guwahati, Assam 781005","PVR City Centre Guwahati, City Centre Mall, GS Rd, Christian Basti, Guwahati, Assam 781005","Galleria Cinemas Guwahati, 5th Floor, Hub Mall, GS Rd, Bhangagarh, Guwahati, Assam 781005",Lokpriya Gopinath Bordoloi Airport,Guwahati Station,ISBT,"1","1.1","1.1","1.7","0.650","1.5","2","1.1","3.2","0.5","0.5","2.4","0.6","1.7","1.2","1.6","0","2.6","5","6","7","32","10","11"
