"property_id","hall","dining","kitchen","bedroom","washroom","pooja","servant","lobby","balcony","floor","floor_max","furnish"
18,1,1,1,1,2,0,0,0,2,10,10,2
19,1,1,1,3,2,0,0,0,1,2,4,2
20,1,1,1,3,2,0,0,0,1,2,4,2
21,1,1,1,2,2,0,0,0,1,2,4,1
22,1,1,1,3,2,0,0,0,1,1,3,1
23,1,1,1,3,3,0,0,0,1,4,6,2
24,1,1,1,3,2,0,0,0,1,3,3,1
25,1,1,1,2,2,0,0,0,1,3,3,1
26,1,1,1,3,2,0,0,0,1,2,2,1
27,1,1,1,2,2,0,0,0,2,5,5,1
28,1,1,1,2,2,0,0,0,1,1,4,3
29,1,1,1,1,2,0,0,0,2,2,5,2
30,1,1,1,3,1,0,0,0,1,1,3,1
31,1,1,1,2,2,0,0,0,1,5,5,1
32,1,1,1,2,2,0,0,0,1,1,2,1
33,1,1,1,2,2,0,0,0,1,1,2,1
34,1,1,1,3,2,1,0,0,1,1,3,1
36,1,1,1,2,2,0,0,0,1,1,2,1
37,1,1,1,3,2,0,0,0,2,1,8,1
38,1,1,1,2,2,0,0,0,1,3,5,2
39,1,1,1,1,1,0,0,0,0,0,0,1
40,1,1,1,2,2,0,0,0,1,2,3,1
41,1,1,1,3,2,1,0,0,1,2,3,1
42,1,1,1,2,2,0,0,0,1,1,3,2
43,1,1,1,3,2,0,0,0,1,3,3,1
44,1,1,1,3,2,1,0,0,3,2,3,1
45,1,1,1,3,2,0,0,0,2,4,8,1
46,1,1,1,2,2,0,0,0,1,2,3,1
47,1,1,1,3,2,0,0,0,3,4,4,3
48,1,1,1,1,1,0,0,0,1,3,3,1
49,1,1,1,2,2,1,0,0,0,0,0,1
50,1,1,1,4,4,0,1,0,2,5,10,1
51,1,1,1,3,2,1,0,0,3,2,3,1
52,1,1,1,1,1,0,0,0,1,1,3,1
53,1,1,1,3,2,0,0,0,2,3,3,1
54,1,1,1,3,2,0,0,0,2,4,6,2
55,1,1,1,3,2,0,0,0,2,2,2,1
56,1,1,1,1,1,0,0,0,1,4,10,1
57,1,1,1,3,2,0,0,0,3,5,7,1
58,1,0,1,2,2,0,0,0,1,5,5,3
59,1,1,1,2,2,0,0,0,1,2,2,1
60,1,1,1,2,2,0,0,0,1,3,3,1
61,1,1,1,2,2,0,0,0,1,2,2,1
62,1,1,1,2,2,0,0,0,1,1,2,1
63,1,1,1,3,2,0,0,0,1,2,2,1
64,1,1,1,3,2,0,0,0,1,1,2,1
65,1,1,1,2,2,0,0,0,1,2,3,3
66,1,1,1,2,2,1,0,0,2,6,6,3
67,1,1,1,3,2,0,0,0,1,3,3,2
73,1,1,1,3,2,0,0,0,1,1,2,1
74,1,1,1,3,2,0,0,0,2,2,4,1
75,1,1,1,2,2,0,0,0,2,2,4,2
76,1,1,1,3,3,0,0,0,1,1,3,2
77,1,1,1,3,2,0,0,0,2,5,10,2
78,1,1,1,2,1,0,0,0,1,3,3,1
79,1,1,1,3,2,0,0,0,2,6,10,2
80,1,0,1,2,2,0,0,0,1,1,1,1
81,1,0,1,2,2,0,0,0,1,2,3,1
82,1,1,1,2,2,0,0,0,1,4,4,2
83,1,1,1,1,1,0,0,0,1,0,0,2
84,1,0,1,2,2,0,0,0,2,1,3,1
85,1,0,1,2,2,0,0,0,2,3,3,1
86,1,1,1,3,2,1,0,0,1,4,5,3
87,1,1,1,3,2,1,0,0,2,2,2,1
88,1,0,1,2,1,0,0,0,1,1,2,1
89,1,1,1,3,2,0,0,0,0,0,2,1
90,1,1,1,3,2,0,0,0,2,3,7,1
91,1,1,1,2,2,0,0,0,1,4,4,1
92,1,1,1,3,2,0,0,0,1,2,2,1
93,1,1,1,3,2,0,0,0,2,1,3,1
94,1,1,1,3,2,0,0,0,2,2,4,1
95,1,1,1,3,2,0,0,0,2,6,6,1
96,1,1,1,0,3,1,0,0,1,3,3,1
97,1,1,1,2,2,0,0,0,2,0,2,1
98,1,0,1,1,0,0,0,0,0,1,2,1
99,1,1,1,2,2,0,0,0,1,2,3,1
100,1,0,1,2,2,0,0,0,2,3,4,2
101,1,0,1,1,1,1,0,0,0,0,0,1
102,1,0,1,3,3,0,0,0,1,6,6,1
